,number,value,datetime_start,datetime_complete,duration,params_lr,params_weight_decay,state
26,26,0.5019969278033795,2021-02-10 11:20:46.647797,2021-02-10 11:21:01.474249,0 days 00:00:14.826452,0.0004573608547271806,6.766242256040696e-05,COMPLETE
27,27,0.5840245775729647,2021-02-10 11:21:01.474629,2021-02-10 11:21:26.152803,0 days 00:00:24.678174,0.0073863478337102915,3.0951645718563532e-06,COMPLETE
28,28,0.4509984639016897,2021-02-10 11:21:26.153150,2021-02-10 11:21:37.687749,0 days 00:00:11.534599,0.007276532513678228,3.658332459617498e-06,COMPLETE
29,29,0.42119815668202765,2021-02-10 11:21:37.688106,2021-02-10 11:22:08.022707,0 days 00:00:30.334601,0.0031616703722811565,1.1171153076590884e-06,COMPLETE
30,30,0.5198156682027649,2021-02-10 11:22:08.023060,2021-02-10 11:23:07.640991,0 days 00:00:59.617931,0.010108133127911085,1.637385683754782e-06,COMPLETE
31,31,0.5969278033794163,2021-02-10 11:23:07.641343,2021-02-10 11:23:17.508420,0 days 00:00:09.867077,0.02258147790444326,4.675109050374598e-06,COMPLETE
32,32,0.4949308755760369,2021-02-10 11:23:17.508776,2021-02-10 11:23:42.943119,0 days 00:00:25.434343,0.016438945463248995,5.02821319757389e-06,COMPLETE
33,33,0.6046082949308755,2021-02-10 11:23:42.943489,2021-02-10 11:23:58.574187,0 days 00:00:15.630698,0.022779002014917435,3.888560697996945e-06,COMPLETE
34,34,0.38863287250384027,2021-02-10 11:23:58.574544,2021-02-10 11:24:08.862206,0 days 00:00:10.287662,0.023937680042010776,2.993432423615773e-05,COMPLETE
35,35,0.5738863287250384,2021-02-10 11:24:08.862562,2021-02-10 11:24:23.832009,0 days 00:00:14.969447,0.01648969195538395,1.0553620870299013e-05,COMPLETE
36,36,0.6036866359447005,2021-02-10 11:24:23.832367,2021-02-10 11:27:10.888575,0 days 00:02:47.056208,0.01176466478664009,1.868260315787946e-06,COMPLETE
37,37,0.423963133640553,2021-02-10 11:27:10.888936,2021-02-10 11:27:36.004202,0 days 00:00:25.115266,0.011617079504555856,1.7895275521481306e-06,COMPLETE
38,38,0.5210445468509984,2021-02-10 11:27:36.004572,2021-02-10 11:27:51.193777,0 days 00:00:15.189205,0.04362083561106006,4.809859122062326e-06,COMPLETE
39,39,0.6353302611367128,2021-02-10 11:27:51.194141,2021-02-10 11:28:01.108195,0 days 00:00:09.914054,0.02720206306739738,2.5351846273174367e-06,COMPLETE
40,40,0.5913978494623656,2021-02-10 11:28:01.108555,2021-02-10 11:28:20.761603,0 days 00:00:19.653048,0.03340658628971321,2.009114106575387e-06,COMPLETE
41,41,0.4129032258064516,2021-02-10 11:28:20.761967,2021-02-10 11:28:31.064076,0 days 00:00:10.302109,0.022432721615825213,3.8092504689640264e-06,COMPLETE
42,42,0.5800307219662059,2021-02-10 11:28:31.064459,2021-02-10 11:28:41.425887,0 days 00:00:10.361428,0.02002246412403144,1.3756719840368695e-06,COMPLETE
43,43,0.4202764976958525,2021-02-10 11:28:41.426248,2021-02-10 11:28:56.372750,0 days 00:00:14.946502,0.01289630593947841,2.4045045686770504e-06,COMPLETE
44,44,0.610752688172043,2021-02-10 11:28:56.373112,2021-02-10 11:29:11.409346,0 days 00:00:15.036234,0.027746123971108972,6.985475124784727e-06,COMPLETE
45,45,0.5622119815668203,2021-02-10 11:29:11.409708,2021-02-10 11:29:36.261560,0 days 00:00:24.851852,0.0324439143678572,1.3861422728700712e-05,COMPLETE
46,46,0.48110599078341015,2021-02-10 11:29:36.261942,2021-02-10 11:29:51.399906,0 days 00:00:15.137964,0.041283826816157096,7.637001756686588e-06,COMPLETE
47,47,0.4663594470046083,2021-02-10 11:29:51.400276,2021-02-10 11:30:01.664545,0 days 00:00:10.264269,0.0044739626886168725,2.676536464597878e-06,COMPLETE
48,48,0.4079877112135177,2021-02-10 11:30:01.664917,2021-02-10 11:30:12.058208,0 days 00:00:10.393291,0.02714545502946911,1.6081251778372027e-05,COMPLETE
49,49,0.41935483870967744,2021-02-10 11:30:12.058585,2021-02-10 11:30:22.032295,0 days 00:00:09.973710,0.016754142265147227,6.351255409025354e-06,COMPLETE
50,50,0.5935483870967742,2021-02-10 11:30:22.032689,2021-02-10 11:30:32.189156,0 days 00:00:10.156467,0.009801003938187005,2.3718606338068112e-05,COMPLETE
51,51,0.549615975422427,2021-02-10 11:30:32.189536,2021-02-10 11:30:52.010795,0 days 00:00:19.821259,0.04715075154420906,4.352438752209514e-06,COMPLETE
52,52,0.5373271889400921,2021-02-10 11:30:52.011159,2021-02-10 11:31:02.319527,0 days 00:00:10.308368,0.01948115626815209,5.97605383798288e-06,COMPLETE
53,53,0.506605222734255,2021-02-10 11:31:02.319900,2021-02-10 11:31:12.601628,0 days 00:00:10.281728,0.026338722528155698,9.629175178118289e-06,COMPLETE
