,run_name,experiment_name,manual_seed,avg_test_loss,avg_val_loss,cindex,cindex_train,cindex_test,quantile_0.5,quantile_0.25,quantile_0.75
0,Nan,Nan,Nan,0.0,3.699812412261963,0.0,0.0,0.0,0.0,0.0,0.0
1,Nan,Nan,Nan,0.0,4.1197099685668945,0.498310291858679,0.0,0.0,0.0,0.0,0.0
2,Nan,Nan,Nan,0.0,3.7237584590911865,0.4236559139784946,0.0,0.0,0.0,0.0,0.0
3,Nan,Nan,Nan,0.0,10.741988182067871,0.37849462365591396,0.0,0.0,0.0,0.0,0.0
4,Nan,Nan,Nan,0.0,5.145034313201904,0.0,0.0,0.0,0.0,0.0,0.0
5,Nan,Nan,Nan,0.0,8.068971633911133,0.0,0.0,0.0,0.0,0.0,0.0
6,Nan,Nan,Nan,0.0,3.4557266235351562,0.0,0.0,0.0,0.0,0.0,0.0
7,Nan,Nan,Nan,0.0,7.920544624328613,0.3956989247311828,0.0,0.0,0.0,0.0,0.0
8,Nan,Nan,Nan,0.0,8.502573013305664,0.0,0.0,0.0,0.0,0.0,0.0
9,Nan,Nan,Nan,0.0,13.218806266784668,0.3726574500768049,0.0,0.0,0.0,0.0,0.0
10,Nan,Nan,Nan,0.0,6.515360355377197,0.0,0.0,0.0,0.0,0.0,0.0
11,Nan,Nan,Nan,0.0,7.563523292541504,0.37112135176651306,0.0,0.0,0.0,0.0,0.0
12,Nan,Nan,Nan,0.0,6.712407112121582,0.43410138248847924,0.0,0.0,0.0,0.0,0.0
13,Nan,Nan,Nan,0.0,8.962696075439453,0.0,0.0,0.0,0.0,0.0,0.0
14,Nan,Nan,Nan,0.0,9.322495460510254,0.4288786482334869,0.0,0.0,0.0,0.0,0.0
15,Nan,Nan,Nan,0.0,9.3312406539917,0.0,0.0,0.0,0.0,0.0,0.0
16,Nan,Nan,Nan,0.0,17.12263298034668,0.38095238095238093,0.0,0.0,0.0,0.0,0.0
17,Nan,Nan,Nan,0.0,3.943052291870117,0.0,0.0,0.0,0.0,0.0,0.0
18,Nan,Nan,Nan,0.0,13.016097068786621,0.6258064516129033,0.0,0.0,0.0,0.0,0.0
19,Nan,Nan,Nan,0.0,10.541251182556152,0.0,0.0,0.0,0.0,0.0,0.0
20,Nan,Nan,Nan,0.0,7.363491535186768,0.493394777265745,0.0,0.0,0.0,0.0,0.0
21,Nan,Nan,Nan,0.0,3.9750239849090576,0.4448540706605223,0.0,0.0,0.0,0.0,0.0
22,Nan,Nan,Nan,0.0,15.983071327209473,0.0,0.0,0.0,0.0,0.0,0.0
23,Nan,Nan,Nan,0.0,5.285586833953857,0.0,0.0,0.0,0.0,0.0,0.0
24,Nan,Nan,Nan,0.0,8.20217227935791,0.6202764976958526,0.0,0.0,0.0,0.0,0.0
25,Nan,Nan,Nan,0.0,13.1510009765625,0.0,0.0,0.0,0.0,0.0,0.0
26,Nan,Nan,Nan,0.0,9.9022798538208,0.47987711213517664,0.0,0.0,0.0,0.0,0.0
27,Nan,Nan,Nan,0.0,3.8007984161376953,0.5167434715821813,0.0,0.0,0.0,0.0,0.0
28,Nan,Nan,Nan,0.0,10.65156078338623,0.0,0.0,0.0,0.0,0.0,0.0
29,Nan,Nan,Nan,0.0,4.852717876434326,0.0,0.0,0.0,0.0,0.0,0.0
30,Nan,Nan,Nan,0.0,5.3423285484313965,0.5748079877112136,0.0,0.0,0.0,0.0,0.0
31,Nan,Nan,Nan,0.0,6.204873561859131,0.5972350230414747,0.0,0.0,0.0,0.0,0.0
32,Nan,Nan,Nan,0.0,9.952394485473633,0.6113671274961597,0.0,0.0,0.0,0.0,0.0
33,Nan,Nan,Nan,0.0,2.7322311401367188,0.546236559139785,0.0,0.0,0.0,0.0,0.0
34,Nan,Nan,Nan,0.0,15.593360900878906,0.6230414746543779,0.0,0.0,0.0,0.0,0.0
35,Nan,Nan,Nan,0.0,12.432437896728516,0.0,0.0,0.0,0.0,0.0,0.0
36,Nan,Nan,Nan,0.0,3.821221113204956,0.4202764976958525,0.0,0.0,0.0,0.0,0.0
37,Nan,Nan,Nan,0.0,13.536766052246094,0.0,0.0,0.0,0.0,0.0,0.0
38,Nan,Nan,Nan,0.0,9.41320514678955,0.0,0.0,0.0,0.0,0.0,0.0
39,Nan,Nan,Nan,0.0,6.870675563812256,0.0,0.0,0.0,0.0,0.0,0.0
40,Nan,Nan,Nan,0.0,11.948240280151367,0.6218125960061444,0.0,0.0,0.0,0.0,0.0
41,Nan,Nan,Nan,0.0,4.562260150909424,0.0,0.0,0.0,0.0,0.0,0.0
42,Nan,Nan,Nan,0.0,6.117524147033691,0.0,0.0,0.0,0.0,0.0,0.0
43,Nan,Nan,Nan,0.0,10.931084632873535,0.0,0.0,0.0,0.0,0.0,0.0
44,Nan,Nan,Nan,0.0,5.345090866088867,0.0,0.0,0.0,0.0,0.0,0.0
