,number,value,datetime_start,datetime_complete,duration,params_lr,params_weight_decay,state
37,37,0.3978494623655914,2021-02-10 22:19:14.599101,2021-02-10 22:19:40.216346,0 days 00:00:25.617245,0.0036538719378345448,0.00011100401716070397,COMPLETE
38,38,0.5864823348694317,2021-02-10 22:19:40.216682,2021-02-10 22:19:44.517886,0 days 00:00:04.301204,0.0008041605509322605,3.069554970521941e-05,COMPLETE
39,39,0.43870967741935485,2021-02-10 22:19:44.518212,2021-02-10 22:19:53.089464,0 days 00:00:08.571252,0.0005503423209731763,7.547796886700089e-05,COMPLETE
40,40,0.5493087557603686,2021-02-10 22:19:53.089803,2021-02-10 22:20:05.874386,0 days 00:00:12.784583,0.00033911055390788847,4.693073850753522e-05,COMPLETE
41,41,0.6076804915514593,2021-02-10 22:20:05.874719,2021-02-10 22:20:10.242395,0 days 00:00:04.367676,0.003329573565756007,0.000502324527074425,COMPLETE
42,42,0.4436251920122888,2021-02-10 22:20:10.242749,2021-02-10 22:20:14.488752,0 days 00:00:04.246003,2.236285871544599e-05,0.00011974337330971351,COMPLETE
43,43,0.4294930875576037,2021-02-10 22:20:14.489080,2021-02-10 22:20:25.235644,0 days 00:00:10.746564,0.003175451255792589,0.0009886102515276388,COMPLETE
44,44,,2021-02-10 22:20:25.235982,2021-02-10 22:20:26.055715,0 days 00:00:00.819733,0.001581609067557486,0.0005178913458493765,FAIL
45,45,0.4055299539170507,2021-02-10 22:20:26.056027,2021-02-10 22:20:39.011335,0 days 00:00:12.955308,0.0016152149317723021,0.0005823111271916083,COMPLETE
46,46,0.517357910906298,2021-02-10 22:20:39.011665,2021-02-10 22:20:43.354283,0 days 00:00:04.342618,0.001006229046440367,0.00044194673283754176,COMPLETE
47,47,0.4153609831029186,2021-02-10 22:20:43.354643,2021-02-10 22:20:47.653710,0 days 00:00:04.299067,7.422318828751954e-05,0.0009750348193015875,COMPLETE
48,48,0.5597542242703533,2021-02-10 22:20:47.654053,2021-02-10 22:20:52.011380,0 days 00:00:04.357327,0.004745828562115071,0.0002277927082073284,COMPLETE
49,49,0.45314900153609833,2021-02-10 22:20:52.011824,2021-02-10 22:20:56.292765,0 days 00:00:04.280941,0.0020165142039806944,0.0005345236682088413,COMPLETE
50,50,0.44516129032258067,2021-02-10 22:20:56.293243,2021-02-10 22:21:11.157651,0 days 00:00:14.864408,0.0034782298820559268,3.128957146046282e-05,COMPLETE
51,51,,2021-02-10 22:21:11.158000,2021-02-10 22:21:12.832116,0 days 00:00:01.674116,0.001210868008105955,0.0008120611533983966,FAIL
52,52,0.469431643625192,2021-02-10 22:21:12.832433,2021-02-10 22:21:19.230520,0 days 00:00:06.398087,0.00016845574118630062,0.00013812978615468236,COMPLETE
53,53,0.4841781874039939,2021-02-10 22:21:19.230891,2021-02-10 22:21:23.632284,0 days 00:00:04.401393,0.002450129128053124,8.463259379365192e-05,COMPLETE
54,54,0.5975422427035331,2021-02-10 22:21:23.632639,2021-02-10 22:21:27.967331,0 days 00:00:04.334692,0.0011033182882972403,0.0007797256188922021,COMPLETE
55,55,0.5969278033794163,2021-02-10 22:21:27.967669,2021-02-10 22:21:32.304589,0 days 00:00:04.336920,0.0009360481193911395,0.0006782661605208622,COMPLETE
56,56,0.458678955453149,2021-02-10 22:21:32.304931,2021-02-10 22:21:38.771001,0 days 00:00:06.466070,0.0012744826706070243,0.00030976834042791435,COMPLETE
57,57,0.5855606758832566,2021-02-10 22:21:38.771320,2021-02-10 22:21:43.251074,0 days 00:00:04.479754,0.001701336995057003,0.0007928799170088016,COMPLETE
58,58,0.43317972350230416,2021-02-10 22:21:43.251424,2021-02-10 22:21:49.695390,0 days 00:00:06.443966,0.0006202740741528716,0.00020995517921834308,COMPLETE
59,59,0.4436251920122888,2021-02-10 22:21:49.695733,2021-02-10 22:22:00.397658,0 days 00:00:10.701925,0.0011483134991629922,0.0004941857486461033,COMPLETE
60,60,0.4153609831029186,2021-02-10 22:22:00.397998,2021-02-10 22:22:09.013651,0 days 00:00:08.615653,0.0023126354819398153,0.0003048757933852761,COMPLETE
61,61,0.4147465437788018,2021-02-10 22:22:09.014004,2021-02-10 22:22:17.563044,0 days 00:00:08.549040,0.004959887058504799,4.236379058925626e-05,COMPLETE
