,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
26,26,0.5075268817204301,2021-02-13 23:54:04.887874,2021-02-13 23:59:07.116545,0 days 00:05:02.228671,4.595484230790916e-05,15,6.267701302623275e-07,0.5311827956989247,,,COMPLETE
27,27,0.4980030721966206,2021-02-13 23:59:07.117107,2021-02-13 23:59:22.966160,0 days 00:00:15.849053,0.004474700715469982,40,4.034369946314395e-05,0.4980030721966206,,,PRUNED
28,28,0.5815668202764976,2021-02-13 23:59:22.966371,2021-02-14 00:04:21.723532,0 days 00:04:58.757161,0.0005632052233538533,5,3.974855040069312e-06,0.6079877112135177,0.5425499231950844,0.6015360983102919,COMPLETE
29,29,0.45468509984639016,2021-02-14 00:04:21.724090,2021-02-14 00:04:36.723520,0 days 00:00:14.999430,0.0005821063989586531,5,1.118186305660096e-07,0.45468509984639016,,,PRUNED
30,30,0.5311827956989247,2021-02-14 00:04:36.723679,2021-02-14 00:09:38.555766,0 days 00:05:01.832087,0.00018087069051170472,30,0.0008491991563791488,0.6003072196620584,0.5969278033794163,,COMPLETE
31,31,0.565284178187404,2021-02-14 00:09:38.556415,2021-02-14 00:11:33.395624,0 days 00:01:54.839209,0.0011287385615416684,10,2.735200681813278e-06,0.5935483870967742,0.5692780337941629,0.565284178187404,PRUNED
32,32,0.5391705069124424,2021-02-14 00:11:33.395784,2021-02-14 00:12:16.780842,0 days 00:00:43.385058,0.0002720917531877098,10,3.9246566495381586e-07,0.5695852534562212,0.5391705069124424,,PRUNED
33,33,0.5314900153609831,2021-02-14 00:12:16.781005,2021-02-14 00:17:15.971560,0 days 00:04:59.190555,0.0030494704317645324,10,2.266636457411132e-06,0.595084485407066,0.5453149001536098,0.5867895545314901,COMPLETE
34,34,0.5867895545314901,2021-02-14 00:17:15.972139,2021-02-14 00:17:57.555264,0 days 00:00:41.583125,0.000146069354490959,5,1.6671929395320572e-06,0.5867895545314901,,,PRUNED
35,35,0.4823348694316436,2021-02-14 00:17:57.555425,2021-02-14 00:18:34.959198,0 days 00:00:37.403773,0.0018468936709292838,50,4.805849685117623e-06,0.4823348694316436,,,PRUNED
36,36,0.5105990783410138,2021-02-14 00:18:34.959364,2021-02-14 00:19:18.392072,0 days 00:00:43.432708,2.6863852598235563e-05,5,0.0007402005874277319,0.6334869431643625,0.5105990783410138,,PRUNED
37,37,0.5482334869431643,2021-02-14 00:19:18.392240,2021-02-14 00:24:18.569930,0 days 00:05:00.177690,0.009630127412383551,15,3.8871352251951644e-07,0.5543778801843318,,,COMPLETE
38,38,0.450384024577573,2021-02-14 00:24:18.570512,2021-02-14 00:25:01.660766,0 days 00:00:43.090254,0.0006328390126253708,20,1.06417060838787e-07,0.5631336405529954,0.450384024577573,,PRUNED
39,39,0.5379416282642089,2021-02-14 00:25:01.660926,2021-02-14 00:26:56.229871,0 days 00:01:54.568945,0.002626764863672733,10,3.7509847764910026e-06,0.584331797235023,0.5705069124423963,0.5379416282642089,PRUNED
40,40,0.5259600614439324,2021-02-14 00:26:56.230040,2021-02-14 00:31:58.020638,0 days 00:05:01.790598,2.2339633609797937e-05,45,0.00014054636674085296,0.535483870967742,,,COMPLETE
41,41,0.5023041474654378,2021-02-14 00:31:58.021235,2021-02-14 00:32:13.775781,0 days 00:00:15.754546,0.00220622343511699,10,1.5601739390988633e-06,0.5023041474654378,,,PRUNED
42,42,0.5,2021-02-14 00:32:13.775953,2021-02-14 00:32:26.512795,0 days 00:00:12.736842,0.005731980432461902,20,5.173747673439568e-06,0.5,,,PRUNED
43,43,0.524731182795699,2021-02-14 00:32:26.512955,2021-02-14 00:33:08.086465,0 days 00:00:41.573510,0.0010467831237450348,5,4.857142248194912e-07,0.5655913978494623,0.524731182795699,,PRUNED
44,44,0.5407066052227343,2021-02-14 00:33:08.086640,2021-02-14 00:33:23.754221,0 days 00:00:15.667581,0.0003393421470252371,15,1.4926201041421963e-06,0.5407066052227343,,,PRUNED
45,45,0.5,2021-02-14 00:33:23.754405,2021-02-14 00:33:59.301560,0 days 00:00:35.547155,0.015429095695630755,45,0.0004235404060463484,0.5,,,PRUNED
46,46,0.5360983102918587,2021-02-14 00:33:59.301735,2021-02-14 00:34:12.918907,0 days 00:00:13.617172,0.0007063148337318536,10,9.180592242065897e-06,0.5360983102918587,,,PRUNED
