,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0,0.706186837564703,2021-03-04 21:09:14.818004,2021-03-04 21:13:27.948712,0 days 00:04:13.130708,0.00022884659013950147,30,0.99639054440515,18.497863336881647,0.7047079122504314,0.7049543998028099,0.7066798126694602,,COMPLETE
1,1,0.6704461424698053,2021-03-04 21:13:27.949366,2021-03-04 21:17:40.291768,0 days 00:04:12.342402,0.00014615459168873228,30,0.9903018731181784,5.675066819807363,0.6872072960315504,0.6800591570125709,0.6997781612028593,0.6482622627557308,COMPLETE
2,2,0.706186837564703,2021-03-04 21:17:40.292401,2021-03-04 21:21:29.080526,0 days 00:03:48.788125,0.0012607124128443134,60,0.9930018269531653,5.1317529730201725,0.707419275326596,0.7052008873551886,0.706186837564703,,PRUNED
3,3,0.6992851860981021,2021-03-04 21:21:29.080699,2021-03-04 21:22:48.334826,0 days 00:01:19.254127,0.0007605585337248186,20,0.996807946908529,1.5219365441880077,0.7066798126694602,0.6995316736504806,0.6992851860981021,,PRUNED
4,4,0.6891791964505792,2021-03-04 21:22:48.335041,2021-03-04 21:24:07.472721,0 days 00:01:19.137680,1.6115225378502594e-05,50,0.9984680890755078,5.7128122147993246,0.7084052255361104,0.71555336455509,0.6891791964505792,,PRUNED
5,5,0.7125955139265467,2021-03-04 21:24:07.472910,2021-03-04 21:28:19.218209,0 days 00:04:11.745299,0.00047214313712302887,10,0.9966265368814388,6.147048145312149,0.7064333251170816,0.7145674143455756,,,COMPLETE
6,6,0.707419275326596,2021-03-04 21:28:19.218863,2021-03-04 21:28:32.093871,0 days 00:00:12.875008,0.0004811058131730939,90,0.9932859810198101,6.73915919071785,0.707419275326596,,,,PRUNED
7,7,0.737983731821543,2021-03-04 21:28:32.094081,2021-03-04 21:32:43.250692,0 days 00:04:11.156611,0.00017826128973272615,40,0.9957000115156452,9.613866306656185,0.7079122504313532,0.7084052255361104,0.72615232930737,,COMPLETE
8,8,0.7047079122504314,2021-03-04 21:32:43.251338,2021-03-04 21:33:12.651818,0 days 00:00:29.400480,0.0014671727692332683,50,0.9940896220481613,2.8608874493343874,0.7093911757456248,0.7047079122504314,,,PRUNED
9,9,0.69435543505053,2021-03-04 21:33:12.652008,2021-03-04 21:33:41.911790,0 days 00:00:29.259782,0.006999977263973314,90,0.9954306000200953,10.974084836889709,0.69435543505053,,,,PRUNED
10,10,0.7044614246980527,2021-03-04 21:33:41.911971,2021-03-04 21:33:54.654066,0 days 00:00:12.742095,0.0004955622705375014,90,0.9950056840448811,16.049385301871332,0.7044614246980527,,,,PRUNED
11,11,0.6995316736504806,2021-03-04 21:33:54.654263,2021-03-04 21:37:42.927621,0 days 00:03:48.273358,6.490339554556773e-05,50,0.9976500149957611,5.37913881437944,0.7111165886122751,0.6995316736504806,,,PRUNED
12,12,0.695587872812423,2021-03-04 21:37:42.927783,2021-03-04 21:39:01.860810,0 days 00:01:18.933027,0.004797152229941595,50,0.9947209415030286,3.0527760512502837,0.695587872812423,,,,PRUNED
13,13,0.7066798126694602,2021-03-04 21:39:01.861010,2021-03-04 21:39:31.179297,0 days 00:00:29.318287,0.0002869951730464492,60,0.9987181208287705,1.8612132320059311,0.7066798126694602,,,,PRUNED
